Chinese Name,Name
南屯區,Nantun District
西屯區,Xitun District
北屯區,Beitun District
西區,West District
北區,North District
霧峰區,Wufeng District
豐原區,Fengyuan District
龍井區,Longjing District
潭子區,Tanzi District
新社區,Xinshe District
清水區,Qingshui District
梧棲區,Wuqi District
神岡區,Shengang District
烏日區,Wuri District
東勢區,Dongshi District
和平區,Heping District
沙鹿區,Shalu District
后里區,Houli District
石岡區,Shigang District
外埔區,Waipu District
太平區,Taiping District
大雅區,Daya District
大里區,Dali District
大肚區,Dadu District
大安區,Da'an District
大甲區,Dajia District
中區,Central District
東區,East District
南區,South District
