Chinese Name ,Area ,Population  ,Density,Postal Code
中區,0.8803,18173,20644,400
東區,9.2855,75769,8160,401
南區,6.8101,126585,18588,402
西區,5.7042,114618,20094,403
北區,6.9376,146676,21142,404
北屯區,62.7034,286208,4564,406
西屯區,39.8467,230978,5797,407
南屯區,31.2578,175439,5613,408
太平區,120.7473,194835,1614,411
大里區,28.8759,212957,7375,412
霧峰區,98.0779,65144,664,413
烏日區,43.4032,76249,1757,414
豐原區,41.1845,166199,4035,420
后里區,58.9439,54374,922,421
石岡區,18.2105,14659,805,422
東勢區,117.4065,49250,419,423
和平區,1037.8192,10815,10,424
新社區,68.8874,24108,350,426
潭子區,25.8497,109274,4227,427
大雅區,32.4109,95703,2953,428
神岡區,35.0445,65550,1870,429
大肚區,37.0024,56759,1534,432
沙鹿區,40.4604,95135,2351,433
龍井區,38.0377,77998,2051,434
梧棲區,16.6049,59199,3565,435
清水區,64.1709,87863,1369,436
大甲區,58.5192,76116,1301,437
外埔區,42.4098,31989,754,438
大安區,27.4045,18925,691,439
