Chinese Name,Area,Population,Density,Postal Code,Name,Latitude,Longitude
中區,0.8803,18173.0,20644.0,400.0,Central District,24.14168566,120.680598
東區,9.2855,75769.0,8160.0,401.0,East District,24.13733209,120.6970865
南區,6.8101,126585.0,18588.0,402.0,South District,24.12114107,120.6646178
西區,5.7042,114618.0,20094.0,403.0,West District,24.14391082,120.6647579
北區,6.9376,146676.0,21142.0,404.0,North District,24.15863985,120.6809521
北屯區,62.7034,286208.0,4564.0,406.0,Beitun District,24.18400298,120.7362319
西屯區,39.8467,230978.0,5797.0,407.0,Xitun District,24.18308895,120.6270131
南屯區,31.2578,175439.0,5613.0,408.0,Nantun District,24.14165524,120.6177379
太平區,120.7473,194835.0,1614.0,411.0,Taiping District,24.11477375,120.7734217
大里區,28.8759,212957.0,7375.0,412.0,Dali District,24.09575742,120.6926261
霧峰區,98.0779,65144.0,664.0,413.0,Wufeng District,24.04332785,120.7201989
烏日區,43.4032,76249.0,1757.0,414.0,Wuri District,24.0839271,120.6293305
豐原區,41.1845,166199.0,4035.0,420.0,Fengyuan District,24.24990298,120.7375715
后里區,58.9439,54374.0,922.0,421.0,Houli District,24.30962483,120.7146127
石岡區,18.2105,14659.0,805.0,422.0,Shigang District,24.26493299,120.7903822
東勢區,117.4065,49250.0,419.0,423.0,Dongshi District,24.24952637,120.8401401
和平區,1037.8192,10815.0,10.0,424.0,Heping District,24.27620277,121.140185
新社區,68.8874,24108.0,350.0,426.0,Xinshe District,24.17769289,120.8313228
潭子區,25.8497,109274.0,4227.0,427.0,Tanzi District,24.21171121,120.710997
大雅區,32.4109,95703.0,2953.0,428.0,Daya District,24.22704181,120.6411818
神岡區,35.0445,65550.0,1870.0,429.0,Shengang District,24.26568008,120.6733321
大肚區,37.0024,56759.0,1534.0,432.0,Dadu District,24.14467504,120.5543243
沙鹿區,40.4604,95135.0,2351.0,433.0,Shalu District,24.23425212,120.5838628
龍井區,38.0377,77998.0,2051.0,434.0,Longjing District,24.20062892,120.5283728
梧棲區,16.6049,59199.0,3565.0,435.0,Wuqi District,24.24552431,120.5301259
清水區,64.1709,87863.0,1369.0,436.0,Qingshui District,24.29205743,120.5809094
大甲區,58.5192,76116.0,1301.0,437.0,Dajia District,24.37827161,120.6357901
外埔區,42.4098,31989.0,754.0,438.0,Waipu District,24.33551071,120.6650639
大安區,27.4045,18925.0,691.0,439.0,Da'an District,24.36509555,120.5914407
